result_id,retailer,retailer_type,attribute,rule_type,deviation_percent,page_type,verdict,verdict_reason,created_at
"edc2959a-639f-4e29-85a9-21bce1736de4","Club-De-Perrosy-Gatos-CL","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:12.380Z"
"2ab1e983-3b89-406b-b941-c5cfe94176c8","Tiendanimal-ES","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:12.728Z"
"728cebd3-a4d0-4ed7-8835-65d834c3a9d2","VetZoo-SE","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:12.860Z"
"30915ecd-bf6a-439f-904b-b49758b2a7cd","Viovet","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:13.188Z"
"0fdc28f9-ee88-4ef1-8918-6ec54b3d7aa2","Apple-US","web","extract.productNo","condition","0.01","detail","anomaly","Standard","2024-05-03T04:31:15.746Z"
"5911e959-e489-49b4-92cf-2b87ac3da012","Escentual-UK","web","extract.promotionText","historic","62.16","detail","anomaly","Standard","2024-05-03T04:31:15.891Z"
"940b81c1-db82-400a-8a3b-8fb0c2e46286","Doordash-Safeway-Grocery-US","web","extract.promotionText","historic","34.96","detail","anomaly","Standard","2024-05-03T04:31:16.374Z"
"fae7452f-3184-4292-b7f1-2a66dd25b373","Doordash-Safeway-US","web","extract.promotionText","historic","91.48","detail","anomaly","Standard","2024-05-03T04:31:16.662Z"
"8cdc3d6b-77a9-4b3f-a886-9a1492a96ccc","Amazon-Pet-Supplies","web","extract.price","historic","58.42","detail","anomaly","Standard","2024-05-03T04:31:17.870Z"
"4382dd31-076f-4871-9e99-02f48e7c0387","Amazon-Pet-Supplies","web","extract.promotionText","historic","37.04","detail","anomaly","Standard","2024-05-03T04:31:17.871Z"
"7645189c-1d0e-4d13-91ab-5d8a84cece2f","Amazon-Pet-Supplies","web","extract.pricePerUnit","historic","52.57","detail","anomaly","Standard","2024-05-03T04:31:17.873Z"
"881a3b3d-7ca8-423a-8f08-0117835abb63","Miscota-ES","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:18.017Z"
"67356028-ea97-4476-85a2-62f10255a37a","Grofers-IN","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:18.812Z"
"f89a87f0-2443-46aa-bd55-a58e9469993f","WilbursTotalBeverage-CityHive-US","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:19.694Z"
"5c46407e-d187-4460-8006-9a1e931ad5f9","ArkenZoo-SE","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:21.780Z"
"9fc0a67a-9952-424a-8dc1-691581f48808","Zooplus-IT","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:22.057Z"
"ce7c5f71-80ec-4f63-9b3a-197fb2d241ab","Zoo-SE","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:22.138Z"
"2bd4d015-4db9-495e-be27-6a6618a835e7","Sephora-FR","web","extract.productNo","condition","100","search","anomaly","Standard","2024-05-03T04:31:22.609Z"
